# Снимок явно установленных пакетов из вывода pacman -Qe, предоставленного пользователем.
# Дата сохранения: 2026-09-09.
# Система: Intel Celeron N3450, 6 ГБ RAM, Arch Linux, Hyprland, systemd-boot.
# Исходный список до обсуждения очистки; зависимости сюда не включены.

amneziavpn-bin 5.0.1.5-1
base 3-3
base-devel 1-2
bluez 5.87-2
bluez-utils 5.87-2
brightnessctl 0.5.1-3
btop 1.4.7-1
chromium 152.0.7977.82-1
efibootmgr 18-4
fish 4.9.2-1
foot 1.28.0-2
git 2.55.0-1
github-cli 2.100.0-1
grim 1.5.0-2
gst-plugin-pipewire 1:1.6.8-1
htop 3.5.3-1
hyprfm-git r454.gc0287fe-1
hyprland 0.56.2-2
hyprpaper 0.8.4-8
hyprpolkitagent 0.1.3-10
intel-compute-runtime 26.31.39395.13-1
intel-gpu-tools 2.5-1
intel-media-driver 26.2.4-1
intel-ucode 20260812-1
libpulse 17.0+r98+gb096704c0-1
libva-utils 2.24.0-1
linux 7.2.3.arch1-3
linux-firmware 20260810-2
mesa-utils 9.0.0-7
micro 2.0.15-3
mkinitcpio 41.1-1
networkmanager 1.58.1-1
nordic-theme 2.2.0-1
noto-fonts 1:2026.09.01-1
noto-fonts-emoji 1:2.051-1
nwg-look 1.1.1-3
openai-codex 0.153.4-1
paru-bin-debug 2.1.0-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
quickshell 0.3.1-1
slurp 1.5.0-2
sof-firmware 2025.12.2-1
sudo 1.9.17.p2-6
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-hack-nerd 3.5.1-2
ttf-liberation 2.1.5-2
unzip 6.0-23
uwsm 0.26.7-1
vulkan-intel 1:26.2.2-1
vulkan-swrast 1:26.2.2-1
vulkan-tools 1.4.357.0-1
wireplumber 0.5.17-1
wl-clipboard 1:2.3.0-1
wpa_supplicant 2:2.12-1
xdg-desktop-portal 1.22.1-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.4.1-2
yay-bin 13.0.1-1
yay-bin-debug 13.0.1-1
yazi 26.9.1-2
zip 3.0-14
zram-generator 1.2.1-1
